PID,SPLIT
100002,train
100004,dev
100005,test
100010,dev
100012,test
100019,train
100020,train
100024,dev
100026,train
100032,test
100035,train
100037,dev
100040,train
100043,test
100046,train
100053,train
100056,train
100065,train
100069,train
100072,test
100073,train
100075,train
100079,train
100080,train
100082,dev
100085,test
100088,train
100089,train
100093,dev
100095,test
100096,train
100099,train
100102,train
100108,train
100111,dev
100113,train
100116,train
100121,dev
100124,train
100130,dev
100136,train
100137,train
100138,train
100141,dev
100143,train
100147,train
100148,train
100150,train
100151,train
100153,train
100158,dev
100160,train
100164,dev
100165,train
100166,dev
100176,train
100184,test
100186,train
100188,train
100194,dev
100203,train
100205,train
100206,test
100209,train
100212,train
100214,train
100215,train
100217,test
100220,train
100221,test
100231,train
100237,train
100242,test
100248,test
100249,train
100252,dev
100253,train
100256,test
100259,train
100260,train
100262,train
100263,train
100266,dev
100280,train
100282,train
100285,train
100288,train
100289,test
100291,train
100300,dev
100304,train
100319,dev
100322,train
100327,test
100329,dev
100331,train
100334,train
100338,dev
100342,train
100343,test
100347,test
100353,dev
100357,train
100360,train
100362,train
100371,train
100374,train
100376,train
100380,test
100381,train
100382,train
100383,dev
100395,train
100397,train
100398,dev
100406,dev
100414,train
100417,test
100418,train
100420,train
100421,train
100427,train
100430,test
100437,test
100438,train
100439,train
100440,train
100443,train
100449,train
100451,train
100456,train
100458,train
100459,train
100460,train
100461,dev
100462,train
100463,train
100469,train
100471,train
100472,train
100476,dev
100477,train
100480,dev
100482,train
100483,train
100488,train
100492,train
100507,train
100515,train
100517,test
100518,test
100524,train
100526,train
100529,dev
100530,test
100532,dev
100535,train
100539,train
100540,train
100543,test
100544,train
100547,train
100550,test
100560,train
100564,dev
100570,train
100573,train
100577,train
100580,test
100581,test
100583,train
100586,train
100594,train
100597,train
100599,train
100604,test
100605,test
100606,dev
100607,train
100610,train
100611,test
100615,test
100619,test
100620,train
100621,train
100622,train
100626,train
100628,dev
100629,train
100630,test
100632,train
100641,train
100652,dev
100654,train
100655,test
100656,train
100658,train
100660,test
100664,train
100667,train
100669,train
100672,train
100676,train
100680,dev
100681,train
100683,train
100686,train
100690,test
100693,dev
100696,dev
100697,dev
100698,train
100699,train
100700,train
100701,train
100702,train
100703,dev
100707,train
100709,train
100711,train
100719,dev
100724,train
100726,test
100727,dev
100730,dev
100731,dev
100732,train
100740,train
100746,train
100747,train
100750,train
100752,test
100755,train
100759,train
100760,train
100761,train
100767,train
100768,train
100771,train
100776,train
100777,dev
100780,train
100782,train
100783,train
100784,test
100785,dev
100787,train
100788,train
100789,train
100793,train
100803,dev
100808,train
100809,train
100810,test
100811,train
100813,train
100814,train
100817,dev
100819,train
100823,test
100828,train
100829,test
100834,train
100840,train
100846,test
100857,train
100858,train
100867,train
100869,train
100870,dev
100871,train
100874,train
100879,train
100882,test
100884,train
100885,train
100888,train
100889,train
100896,train
100899,test
100903,test
100906,train
100913,train
100921,train
100922,train
100925,train
100927,train
100929,train
100934,test
100935,dev
100938,dev
100939,train
100942,train
100947,test
100949,test
100954,train
100960,train
100965,train
100966,train
100970,train
100971,train
100973,train
100975,train
100977,test
100985,train
100989,dev
100990,dev
100994,train
100996,train
101001,dev
101010,train
101012,train
101026,dev
101028,dev
101029,train
101030,train
101031,dev
101034,train
101041,test
101049,test
101051,test
101053,train
101066,test
101068,train
101079,train
101081,train
101085,dev
101087,train
101089,train
101090,dev
101097,train
101098,dev
101101,train
101104,test
101107,train
101108,test
101109,train
101112,train
101120,train
101122,dev
101123,train
101129,train
101132,train
101136,train
101140,train
101141,train
101142,dev
101143,train
101148,train
101149,test
101150,train
101152,train
101158,train
101167,dev
101172,train
101173,train
101176,train
101178,dev
101188,dev
101189,train
101190,train
101191,train
101192,test
101197,train
101198,train
101204,train
101209,train
101213,train
101222,train
101223,train
101227,train
101235,train
101236,train
101237,test
101240,train
101244,dev
101252,train
101253,test
101255,train
101259,train
101260,test
101271,dev
101272,train
101273,train
101276,train
101277,train
101278,dev
101287,train
101289,train
101292,dev
101296,train
101297,train
101298,dev
101303,train
101304,train
101305,train
101307,test
101309,test
101312,dev
101313,test
101315,train
101318,train
101320,dev
101321,dev
101323,test
101331,train
101334,dev
101336,test
101337,dev
101339,dev
101345,train
101347,test
101350,dev
101354,test
101359,test
101360,dev
101362,test
101363,train
101364,train
101366,train
101369,train
101373,train
101374,train
101376,train
101379,train
101380,train
101381,dev
101387,train
101390,train
101391,train
101392,dev
101393,test
101396,train
101397,train
101398,dev
101401,dev
101402,train
101403,dev
101404,test
101413,train
101415,train
101417,test
101420,train
101421,train
101422,dev
101423,train
101426,train
101427,train
101428,train
101435,train
101441,train
101442,train
101444,train
101445,train
101453,test
101457,test
101461,train
101462,train
101467,train
101470,test
101482,train
101486,train
101488,train
101489,train
101490,train
101499,train
101502,train
101506,test
101515,train
101518,train
101521,train
101522,train
101523,train
101529,train
101536,train
101540,train
101542,train
101545,train
101548,train
101560,dev
101561,train
101563,dev
101572,train
101575,train
101583,train
101586,train
101587,train
101589,train
101594,train
101595,dev
101601,dev
101606,train
101607,test
101614,train
101616,train
101623,test
101624,train
101626,train
101627,train
101629,train
101630,train
101635,train
101643,test
101644,train
101648,train
101652,test
101656,train
101659,dev
101661,test
101662,dev
101663,test
101675,test
